ENTIDADE;CNPJ;E-MAIL;TELEFONE;COMUNIDADE_BENEFICIADA;ENDEREÇO_DOAÇÃO;TIPO_ASSENTAMENTO;SUBPREFEITURA;QTD_CESTAS
ASSOCIAÇÃO DE MULHERES AMIGAS DE JOVA RURAL;346741000129;jagomesfilho@uol.com.br;1122037694;JOVA RURAL;R JOSE MILTON BARBOSA, 227, CONJ. HAB. JOVA RURAL, SÃO PAULO/SP(02281-214);GRUPO DE MULHERES;JACANA;1563
INSTITUTO ROGACIONISTA SANTO ANÍBAL;62715529000149;rogacionista@institutorogacionista.org.br;1136110977;VILA NOVA JAGUARÉ;R MOACIR TRANCOSO, 48, ÁGUA BRANCA, SÃO PAULO/SP(05037-120);FAVELA;LAPA;4916
SOCIAL BOM JESUS - SBJ;47468186000171;ine@socialbomjesus.org.br;1158911602;JARDIM JANGADEIRO;R MATEUS MARTINS DO PRADO, 270, PARQUE ALVES DE LIMA, SÃO PAULO/SP(04902-080);FAVELA;M BOI MIRIM;3960
SOCIEDADE SANTOS MÁRTIRES;60731569000159;contato@santosmartires.org.br;1158319549;ANHANDUI MIRIM;R LUIS BALDINATO, 09, JD SÔNIA REGINA, SÃO PAULO/SP(04935-100);FAVELA;M BOI MIRIM;2179
ASSOCIAÇÃO RECICLÁZARO;3960066000111;contato@reciclazaro.org.br;1138715972;MOOCA;RUA MINISTRO GODOI, 83, PERDIZES, SÃO PAULO/SP(05015-000);CORTIÇO;MOOCA;1427
ASSOCIAÇÃO CULTURAL NOSSA SENHORA;5919155000140;daycontabilidade@dayconsultoria.com.br;1125224938;TOBIAS BARRETO;R CHUVAS DE VERAO, 20, CONJUNTO HABITACIONAL FAZENDA DO CARMO, SÃO PAULO/SP(08421-570);CORTIÇO;MOOCA;2332
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL AMAS ;47685896000153;amasvm@gmail.com;1123459781;SERRA DE JAIRÉ;AV DA LIBERDADE, 659, LIBERDADE, SÃO PAULO/SP(01503-001);CORTIÇO;MOOCA;3917
ASSOCIAÇÃO EDUCADORA E BENEFICENTE;50951805001837;contabilidade@aebsp.org.br;1120662903;PADRE RAPOSO;R TERESA FRANCISCA MARTIN, 201, PARI, SÃO PAULO/SP(03030-040);CORTIÇO;MOOCA;1124
CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO;62264494000179;bompar@bompar.org.br;1126963200;RUI MARTINS;AV ALVARO RAMOS, 366, BELÉM, SÃO PAULO/SP(03058-060);CORTIÇO;MOOCA;3058
ASSOCIAÇÃO ASSINDES SERMIG;62459409000128;arsenaldaesperanca@sermig.org.br;1122920977;LITUANIA;R DOUTOR ALMEIDA LIMA, 900, BRÁS, SÃO PAULO/SP(03164-000);CORTIÇO;MOOCA;2532
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;74087081000145;julio@senacont.com;1131012881;ITAQUERI;AV DUQUE DE CAXIAS, 325, 2 ANDAR, CAMPOS ELÍSEOS, SÃO PAULO/SP(01214-100);CORTIÇO;MOOCA;2428
CENTRO DE OBRAS SOCIAIS NOSSA SENHORA DAS GRAÇAS DA CAPELA DO SOCORRO;2970204000180;senel@senel.com.br;1159221262;CAPELINHA DO SOCORRO;RUA DR. JOÃO BAPTISTA GOMES DE SIQUEIRA, 15 - RECANTO ANA MARIA, SÃO PAULO/SP(04864-060);FAVELA;PARELHEIROS;2716
ASSOCIAÇÃO PROBRASIL;3783381000110;contato@probrasil.org;1159260483;VILA NOVA ESPERANÇA;R JOSE VILA BUSQUETS, 499, JARDIM DOS ALAMOS, SÃO PAULO/SP(04883-090);FAVELA;PARELHEIROS;4782
ASSOCIAÇÃO BENEFICENTE VIVENDA DA CRIANÇA;61577110000105;presidencia@vivendadacrianca.org.br;1159208492;MORRO DO CRUZEIRO;R HENRIQUE HESSEL, 300, PARELHEIROS, SÃO PAULO/SP(04882-010);FAVELA;PARELHEIROS;3574
SAMARITANO SÃO FRANCISCO DE ASSIS;2627820000133;contato@ongsamaritano.org.br;1143236008;FAVELA AIAMA;RUA AZEVEDO SOARES, 2406, VILA GOMES CARDIM, TATUAPÉ, SÃO PAULO/SP(03322-002);FAVELA;PENHA;3737
CENTRO SOCIAL BOM JESUS DE CANGAIBA;43384635000142;centrosocialbomjesus@ig.com.br;1126829565;MORRO DA FÉ;R. JACIRA ARTACHO, 47 - JARDIM PIRATININGA, SÃO PAULO/SP(03716-080);FAVELA;PENHA;2318
ASSOCIAÇÃO PALOTINA;74032871000123;csv.palotinas@terra.com.br;1122277390;VIELA DO BUGUINHA;R VISC DE ITABORAI, 119, TATUAPÉ, SÃO PAULO/SP(03308-050);FAVELA;PENHA;4238
ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA;4186468002893;administracao@misericordia.com.br;1131209191;NARDINI;R CANHONEIRA IGUATEMI, 20, JARDIM MARILU, SÃO PAULO/SP(02989-120);FAVELA;PIRITUBA;4694
PAC - PROJETO AMIGOS DAS CRIANÇAS;8620672000101;giliolii@terra.com.br;1139010859;MILHARAL;R FAZENDA MONTE ALEGRE, 60, JARAGUÁ, SÃO PAULO/SP(05160-060);FAVELA;PIRITUBA;3333
CENTRO DE ORIENTAÇÃO À FAMÍLIA - COR;43633288000144;corfamilia@uol.com.br;1133413391;FAVELA DO POETA;R ALBINA BARBOSA, 54, ACLIMAÇÃO, SÃO PAULO/SP(01530-020);FAVELA;SANTANA;4497
INSTITUTO SOCIAL SANTA LÚCIA;3841493000180;aldo.rsantos@ig.com.br;1155245573;JARDIM NOVO SANTO AMARO I;R PADRE JOSE DE ANCHIETA, 1088, SANTO AMARO, SÃO PAULO/SP(04742-001);FAVELA;SANTO AMARO;3655
ASSOCIAÇÃO BENEFICENTE CAMINHO DE LUZ - ABECAL;5000703000133;albergue.abecal@uol.com.br;1155883843;BURACO QUENTE;AV LEONARDO DA VINCI, 1422, VILA GUARANI, SÃO PAULO/SP(04313-001);FAVELA;SANTO AMARO;2902
ASSOCIAÇÃO COMUNITÁRIA E BENEFICENTE PADRE JOSÉ AUGUSTO MACHADO MOREIRA;65887382000162;geassessoria@geassessoria.com.br;1120101010;CABORÉ;R CINIRA POLONIO, 371, CONJUNTO PROMORAR RIO CLARO, SÃO PAULO/SP(08395-320);FAVELA;SAO MATEUS;3165
ASCOM - ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS ;2620604000166;contato@ascom.org.br;1120172297;JARDIM COLONIAL;R. ELÍSIO FERREIRA, 398 - CIDADE SÃO MATEUS, SÃO PAULO/SP(03964-010);FAVELA;SÃO MATEUS;4095
ASSOCIAÇÃO COMUNITÁRIA DAS MULHERES DO MOVIMENTO SEM TERRA DE ERMELINO MATARAZZO;68478791000101;extase.cont@uol.com.br;1125442884;JARDIM HELENA;R PAULINA AUGUSTIN, 240, VILA ROBERTINA, SÃO PAULO/SP(03807-400);GRUPO DE MULHERES;SAO MIGUEL PAULISTA;2793
"CENTRO DE ASSISTÊNCIA SOCIAL E FORMAÇÃO PROFISSIONAL ""SÃO PATRÍCIO""";2928443000172;cedesp_saopatricio@outlook.com;1127041410;CEU SAPOPEMBA;R. ESQUIVEL NAVARRO, 677 - CONJ. HAB. TEOTONIO VILELA, SÃO PAULO/SP(03928-130);FAVELA;SAPOPEMBA;2839
COMUNIDADE CANTINHO DA PAZ;58916685000109;geassessoria@geassessoria.com.br;1169195501;FELIX FLAMENGO;R CLENIO WANDERLEY, 238, FAZENDA DA JUTA, SÃO PAULO/SP(03977-520);FAVELA;SAPOPEMBA;1560
CRDC - CENTRO DE RECREAÇÃO E DESENVOLVIMENTO DA CRIANÇA ESPECIAL;7396491000180;gama_edi@yahoo.com.br;1120746085;MOINHO;R JUCUPEMA, 794, PARADA XV DE NOVEMBRO, SÃO PAULO/SP(08246-061);FAVELA;SE;3969
INSTITUTO FOMENTANDO REDES E EMPREENDEDORISMO SOCIAL - INFOREDES;10589848000151;presidente@inforedes.org;1138541482;TAMANDUATEI;AV GIOVANNI GRONCHI, 6195, SALA 1805/1806, VILA ANDRADE, SÃO PAULO/SP(05724-003);FAVELA;SE;2580
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;11861086000830;marcos.martins@sefras.org.br;1132914433;PARQUE DO GATO;R JAPURA, 234, BELA VISTA, SÃO PAULO/SP(01319-030);FAVELA;SE;2691
COORDENAÇÃO REGIONAL DAS OBRAS DE PROMOÇÃO HUMANA - CROPH;43473487000132;contato@lima.com.br;1129797241;OCUPAÇÃO NOVE DE JULHO;R PADRE AZEVEDO, 125, JARDIM SÃO PAULO, SÃO PAULO/SP(02044-120);OCUPAÇÃO;SE;3777
UNIÃO DOS MORADORES E DO COMÉRCIO DE PARAISÓPOLIS;53820619000109;sufcosta1970@gmail.com;1137392217;OCUPAÇÃO CINE MARROCOS;R ERNEST RENAM, 1366, ANTIGO 92, PARAISÓPOLIS, SÃO PAULO/SP(05659-020);OCUPAÇÃO;SE;4868
SERVIÇOS ASSISTENCIAIS SENHOR BOM JESUS DOS PASSOS;56100068000105;casajoaomoura@gmail.com;1134430151;HIPÓDROMO;R PAIS LEME, 136, CONJ 601, PINHEIROS, SÃO PAULO/SP(05424-010);CORTIÇO;SE;3136
LICEU CORAÇÃO DE JESUS;60463072000105;secgeral@unisal.br;1132213622;ESTUDANTES;LG CORACAO DE JESUS, 154, CAMPOS ELÍSEOS, SÃO PAULO/SP(01215-020);CORTIÇO;SE;3524
UNIÃO BRASILEIRO ISRAELITA DO BEM ESTAR SOCIAL UNIBES;60978723000191;orlando.florencio@unibes.org.br;1131237338;LAVAPÉS;R RODOLFO MIRANDA, 287, BOM RETIRO, SÃO PAULO/SP(01121-010);CORTIÇO;SE;3248
ASSOCIAÇÃO EVANGÉLICA BENEFICENTE - AEB;61705877000172;miriam.guerra@aeb-brasil.org.br;11941934648;GLICÉRIO;R SETE DE ABRIL 59, 11 ANDAR, CENTRO, SÃO PAULO/SP(01043-900);CORTIÇO;SE;2809
GRUPO ESPÍRITA BATUÍRA;61989000000150;geb.batuira@terra.com.br;1138681436;TREZE DE MAIO;R CAIUBI, 1306, PERDIZES, SÃO PAULO/SP(05010-000);CORTIÇO;SE;1324
FUNDAÇÃO JOVEM PROFISSIONAL ;62203427000144;ovempro@jovempro.org.br;1132415588;ABOLIÇÃO;AV NOVE DE JULHO, 399, CENTRO, SÃO PAULO/SP(01313-000);CORTIÇO;SE;1646
INSTITUIÇÃO BENEFICENTE ISRAELITA 'TEN YAD';69127793000100;cmorenocontabil@uol.com.br;1131054930;ANHAIA;R NEWTON PRADO, 76, BOM RETIRO, SÃO PAULO/SP(01127-000);CORTIÇO;SE;4697
CENTRO DE CAPACITAÇÃO PARA A VIDA PROJETO NEEMIAS;7827871000122;r.machado@por-contaty.com.br;1155890550;UNIDOS DA VILA MARIANA;AV JOSE MARIA WHITAKER, 2000, PLANALTO PAULISTA, SÃO PAULO/SP(04057-000);FAVELA;VILA MARIANA;1285
AMPARO MATERNAL;61904678000193;sac@amparomaternal.org;1150898277;MARIO CARDIM;R NAPOLEAO DE BARROS, 1035, VILA CLEMENTINO, SÃO PAULO/SP(04024-003);GRUPO DE MULHERES;VILA MARIANA;1430
